Model,R2_Score,RMSE,MAE,MAPE
linear_regression,0.9395988262679478,3.2955307710867174,2.2804359351539256,1.0611390019934674
ridge,0.9417177858053227,3.237208733696562,2.2593401608144643,1.0538811225300986
lasso,0.9432365638671922,3.1947510439094953,2.2075802487206007,1.029061731449005
random_forest,0.8364911587647723,5.4221721558326985,4.280357100937395,2.029949439361163
